sub,tier,concept_id,label,concept_type,members,inter_member_distance,ns_silhouette,compactness,centroid_lands_outside,nmi_native
007b_ext,near,0,tromble,disjunctive,cat|dog,0.2795,0.1251,0.7698,False,0.357
007b_ext,near,1,varble,disjunctive,bird|deer,0.3979,0.0975,0.7899,False,0.357
007b_ext,near,2,glintz,disjunctive,automobile|truck,0.3985,0.2097,0.6952,False,0.357
007b_ext,mid,0,brumble,disjunctive,deer|dog,0.5294,0.0922,0.7866,False,0.357
007b_ext,mid,1,strenk,disjunctive,airplane|ship,0.5305,0.1414,0.7619,False,0.357
007b_ext,mid,2,worblix,disjunctive,bird|horse,0.6167,0.0862,0.8016,False,0.357
007b,,0,slithy,native,frog,,0.2273,0.678,False,
007b,,1,mimsy,native,horse,,0.3117,0.5972,False,
007b,,2,vorpal,native,ship,,0.2758,0.6368,False,
007b,,3,borogove,native,automobile,,0.2613,0.6401,False,
007b,,4,tulgey,native,airplane,,0.1927,0.7152,False,
007b,,5,frumious,native,bird,,0.0783,0.8185,False,
007b,,6,manxome,native,cat,,0.1945,0.6974,False,
007b,,7,galumphing,native,deer,,0.2404,0.649,False,
007b,,8,uffish,native,dog,,0.1238,0.7684,False,
007b,,9,jubjub,native,truck,,0.3085,0.6001,False,
007b,,0,zorb,disjunctive,bird|dog,0.4767,0.0449,0.8422,False,
007b,,1,gleth,disjunctive,airplane|cat,0.6783,0.0767,0.8056,False,
007b,,2,mivor,disjunctive,frog|truck,0.7343,0.112,0.7718,False,
007b,,3,plonk,disjunctive,automobile|deer,0.6492,0.1154,0.7597,False,
007b,,4,quax,disjunctive,horse|ship,0.7144,0.1358,0.7538,False,
