round,label,n_assignments,mean_confidence,mean_margin
1,mimsy,103,0.6236215533980585,0.44198071844660186
1,slithy,103,0.49871166019417473,0.31841633009708736
1,vorpal,102,0.566642,0.37502286274509794
2,mimsy,102,0.6626923725490195,0.4813980980392158
2,slithy,104,0.5440266634615383,0.35678066346153847
2,vorpal,102,0.6023287254901961,0.40125598039215693
3,mimsy,102,0.6644874705882354,0.48375740196078443
3,slithy,104,0.5457561346153845,0.3580438173076925
3,vorpal,102,0.6036251372549016,0.40230541176470586
4,mimsy,102,0.664752019607843,0.4842656470588235
4,slithy,104,0.5456013461538463,0.35758910576923086
4,vorpal,105,0.5946270952380952,0.39471606666666664
5,mimsy,102,0.6647590294117647,0.48436000980392163
5,slithy,104,0.5452715576923076,0.35682636538461526
5,vorpal,105,0.5948207714285713,0.3950176952380952
6,mimsy,102,0.664707794117647,0.4843924215686274
6,slithy,104,0.5449659519230768,0.3562898653846154
6,vorpal,105,0.5947058476190479,0.3949930380952381
