label,image_id,first_unanimous_round
mimsy,horse_015,1
mimsy,horse_017,1
mimsy,horse_018,1
mimsy,horse_019,1
mimsy,horse_020,1
mimsy,horse_021,1
mimsy,horse_022,1
mimsy,horse_023,1
mimsy,horse_024,1
mimsy,horse_025,1
mimsy,horse_026,1
mimsy,horse_027,1
mimsy,horse_028,1
mimsy,horse_029,1
mimsy,horse_030,1
mimsy,horse_031,1
mimsy,horse_032,1
mimsy,horse_033,1
mimsy,horse_034,1
mimsy,horse_035,1
mimsy,horse_036,1
mimsy,horse_037,1
mimsy,horse_038,1
mimsy,horse_039,1
mimsy,horse_040,1
mimsy,horse_041,1
mimsy,horse_042,1
mimsy,horse_043,1
mimsy,horse_044,1
mimsy,horse_045,1
mimsy,horse_046,1
mimsy,horse_047,1
mimsy,horse_048,1
mimsy,horse_049,1
slithy,frog_015,1
slithy,frog_016,1
slithy,frog_017,1
slithy,frog_018,1
slithy,frog_020,1
slithy,frog_021,1
slithy,frog_022,1
slithy,frog_023,1
slithy,frog_024,1
slithy,frog_025,1
slithy,frog_027,1
slithy,frog_028,1
slithy,frog_029,1
slithy,frog_030,1
slithy,frog_031,1
slithy,frog_032,1
slithy,frog_033,1
slithy,frog_034,1
slithy,frog_035,1
slithy,frog_036,1
slithy,frog_037,1
slithy,frog_038,1
slithy,frog_039,1
slithy,frog_040,1
slithy,frog_041,1
slithy,frog_042,1
slithy,frog_043,1
slithy,frog_044,1
slithy,frog_045,1
slithy,frog_046,1
slithy,frog_047,1
slithy,frog_048,1
slithy,frog_049,1
slithy,frog_019,2
vorpal,ship_015,1
vorpal,ship_016,1
vorpal,ship_017,1
vorpal,ship_018,1
vorpal,ship_019,1
vorpal,ship_020,1
vorpal,ship_021,1
vorpal,ship_022,1
vorpal,ship_023,1
vorpal,ship_025,1
vorpal,ship_026,1
vorpal,ship_027,1
vorpal,ship_028,1
vorpal,ship_029,1
vorpal,ship_030,1
vorpal,ship_031,1
vorpal,ship_032,1
vorpal,ship_033,1
vorpal,ship_034,1
vorpal,ship_035,1
vorpal,ship_036,1
vorpal,ship_037,1
vorpal,ship_038,1
vorpal,ship_039,1
vorpal,ship_040,1
vorpal,ship_041,1
vorpal,ship_042,1
vorpal,ship_043,1
vorpal,ship_044,1
vorpal,ship_045,1
vorpal,ship_046,1
vorpal,ship_047,1
vorpal,ship_048,1
vorpal,ship_049,1
vorpal,ship_024,4
