sub,concept_id,label,concept_type,members,ns_silhouette,compactness,centroid_lands_outside,nmi_native_setlevel
,0,slithy,native,frog,0.2435,0.678,False,1.0
,1,mimsy,native,horse,0.3284,0.5972,False,1.0
,2,vorpal,native,ship,0.2678,0.6368,False,1.0
,3,borogove,native,automobile,0.2624,0.6401,False,1.0
,4,tulgey,native,airplane,0.1833,0.7152,False,1.0
007b,0,slithy,native,frog,0.2273,0.678,False,1.0
007b,1,mimsy,native,horse,0.3117,0.5972,False,1.0
007b,2,vorpal,native,ship,0.2758,0.6368,False,1.0
007b,3,borogove,native,automobile,0.2613,0.6401,False,1.0
007b,4,tulgey,native,airplane,0.1927,0.7152,False,1.0
007b,5,frumious,native,bird,0.0783,0.8185,False,1.0
007b,6,manxome,native,cat,0.1945,0.6974,False,1.0
007b,7,galumphing,native,deer,0.2404,0.649,False,1.0
007b,8,uffish,native,dog,0.1238,0.7684,False,1.0
007b,9,jubjub,native,truck,0.3085,0.6001,False,1.0
007b,0,zorb,disjunctive,bird|dog,0.0449,0.8422,False,0.8228
007b,1,gleth,disjunctive,airplane|cat,0.0767,0.8056,False,0.8228
007b,2,mivor,disjunctive,frog|truck,0.112,0.7718,False,0.8228
007b,3,plonk,disjunctive,automobile|deer,0.1154,0.7597,False,0.8228
007b,4,quax,disjunctive,horse|ship,0.1358,0.7538,False,0.8228
