label,image_id,first_unanimous_round
mimsy,horse_030,1
mimsy,horse_031,1
mimsy,horse_032,1
mimsy,horse_033,1
mimsy,horse_034,1
mimsy,horse_035,1
mimsy,horse_036,1
mimsy,horse_037,1
mimsy,horse_038,1
mimsy,horse_039,1
mimsy,horse_040,1
mimsy,horse_041,1
mimsy,horse_042,1
mimsy,horse_043,1
mimsy,horse_044,1
mimsy,horse_045,1
mimsy,horse_046,1
mimsy,horse_047,1
mimsy,horse_048,1
mimsy,horse_049,1
slithy,frog_030,1
slithy,frog_031,1
slithy,frog_032,1
slithy,frog_033,1
slithy,frog_034,1
slithy,frog_035,1
slithy,frog_036,1
slithy,frog_037,1
slithy,frog_038,1
slithy,frog_039,1
slithy,frog_040,1
slithy,frog_041,1
slithy,frog_042,1
slithy,frog_043,1
slithy,frog_044,1
slithy,frog_045,1
slithy,frog_046,1
slithy,frog_047,1
slithy,frog_048,1
slithy,frog_049,1
vorpal,ship_030,1
vorpal,ship_031,1
vorpal,ship_032,1
vorpal,ship_033,1
vorpal,ship_034,1
vorpal,ship_035,1
vorpal,ship_036,1
vorpal,ship_037,1
vorpal,ship_038,1
vorpal,ship_039,1
vorpal,ship_040,1
vorpal,ship_041,1
vorpal,ship_042,1
vorpal,ship_043,1
vorpal,ship_044,1
vorpal,ship_045,1
vorpal,ship_046,1
vorpal,ship_047,1
vorpal,ship_048,1
vorpal,ship_049,1
