label,image_id,first_unanimous_round
mimsy,horse_015,1
mimsy,horse_017,1
mimsy,horse_018,1
mimsy,horse_019,1
mimsy,horse_020,1
mimsy,horse_021,1
mimsy,horse_022,1
mimsy,horse_023,1
mimsy,horse_024,1
mimsy,horse_025,1
mimsy,horse_026,1
mimsy,horse_027,1
mimsy,horse_028,1
mimsy,horse_029,1
slithy,frog_015,1
slithy,frog_016,1
slithy,frog_017,1
slithy,frog_018,1
slithy,frog_020,1
slithy,frog_021,1
slithy,frog_022,1
slithy,frog_023,1
slithy,frog_024,1
slithy,frog_025,1
slithy,frog_027,1
slithy,frog_028,1
slithy,frog_029,1
slithy,frog_019,2
vorpal,ship_015,1
vorpal,ship_016,1
vorpal,ship_017,1
vorpal,ship_018,1
vorpal,ship_019,1
vorpal,ship_020,1
vorpal,ship_021,1
vorpal,ship_022,1
vorpal,ship_023,1
vorpal,ship_025,1
vorpal,ship_026,1
vorpal,ship_027,1
vorpal,ship_028,1
vorpal,ship_029,1
vorpal,ship_024,4
