condition,agent_id,label,image_id
frozen,agent_00,slithy,frog_000
frozen,agent_00,slithy,frog_001
frozen,agent_00,slithy,frog_002
frozen,agent_00,slithy,frog_003
frozen,agent_00,slithy,frog_004
frozen,agent_00,slithy,frog_015
frozen,agent_00,slithy,frog_016
frozen,agent_00,slithy,frog_017
frozen,agent_00,slithy,frog_018
frozen,agent_00,slithy,frog_019
frozen,agent_00,slithy,frog_020
frozen,agent_00,slithy,frog_021
frozen,agent_00,slithy,frog_022
frozen,agent_00,slithy,frog_023
frozen,agent_00,slithy,frog_024
frozen,agent_00,slithy,frog_025
frozen,agent_00,slithy,frog_026
frozen,agent_00,slithy,frog_027
frozen,agent_00,slithy,frog_028
frozen,agent_00,slithy,frog_029
frozen,agent_00,mimsy,horse_000
frozen,agent_00,mimsy,horse_001
frozen,agent_00,mimsy,horse_002
frozen,agent_00,mimsy,horse_003
frozen,agent_00,mimsy,horse_004
frozen,agent_00,mimsy,horse_015
frozen,agent_00,mimsy,horse_016
frozen,agent_00,mimsy,horse_017
frozen,agent_00,mimsy,horse_018
frozen,agent_00,mimsy,horse_019
frozen,agent_00,mimsy,horse_020
frozen,agent_00,mimsy,horse_021
frozen,agent_00,mimsy,horse_022
frozen,agent_00,mimsy,horse_023
frozen,agent_00,mimsy,horse_024
frozen,agent_00,mimsy,horse_025
frozen,agent_00,mimsy,horse_026
frozen,agent_00,mimsy,horse_027
frozen,agent_00,mimsy,horse_028
frozen,agent_00,mimsy,horse_029
frozen,agent_00,vorpal,ship_000
frozen,agent_00,vorpal,ship_001
frozen,agent_00,vorpal,ship_002
frozen,agent_00,vorpal,ship_003
frozen,agent_00,vorpal,ship_004
frozen,agent_00,vorpal,ship_015
frozen,agent_00,vorpal,ship_016
frozen,agent_00,vorpal,ship_017
frozen,agent_00,vorpal,ship_018
frozen,agent_00,vorpal,ship_019
frozen,agent_00,vorpal,ship_020
frozen,agent_00,vorpal,ship_021
frozen,agent_00,vorpal,ship_022
frozen,agent_00,vorpal,ship_023
frozen,agent_00,vorpal,ship_025
frozen,agent_00,vorpal,ship_026
frozen,agent_00,vorpal,ship_027
frozen,agent_00,vorpal,ship_028
frozen,agent_00,vorpal,ship_029
frozen,agent_01,slithy,frog_005
frozen,agent_01,slithy,frog_006
frozen,agent_01,slithy,frog_007
frozen,agent_01,slithy,frog_008
frozen,agent_01,slithy,frog_009
frozen,agent_01,slithy,frog_015
frozen,agent_01,slithy,frog_016
frozen,agent_01,slithy,frog_017
frozen,agent_01,slithy,frog_018
frozen,agent_01,slithy,frog_019
frozen,agent_01,slithy,frog_020
frozen,agent_01,slithy,frog_021
frozen,agent_01,slithy,frog_022
frozen,agent_01,slithy,frog_023
frozen,agent_01,slithy,frog_024
frozen,agent_01,slithy,frog_025
frozen,agent_01,slithy,frog_026
frozen,agent_01,slithy,frog_027
frozen,agent_01,slithy,frog_028
frozen,agent_01,slithy,frog_029
frozen,agent_01,mimsy,horse_005
frozen,agent_01,mimsy,horse_006
frozen,agent_01,mimsy,horse_007
frozen,agent_01,mimsy,horse_008
frozen,agent_01,mimsy,horse_009
frozen,agent_01,mimsy,horse_015
frozen,agent_01,mimsy,horse_017
frozen,agent_01,mimsy,horse_018
frozen,agent_01,mimsy,horse_019
frozen,agent_01,mimsy,horse_020
frozen,agent_01,mimsy,horse_021
frozen,agent_01,mimsy,horse_022
frozen,agent_01,mimsy,horse_023
frozen,agent_01,mimsy,horse_024
frozen,agent_01,mimsy,horse_025
frozen,agent_01,mimsy,horse_026
frozen,agent_01,mimsy,horse_027
frozen,agent_01,mimsy,horse_028
frozen,agent_01,mimsy,horse_029
frozen,agent_01,vorpal,ship_005
frozen,agent_01,vorpal,ship_006
frozen,agent_01,vorpal,ship_007
frozen,agent_01,vorpal,ship_008
frozen,agent_01,vorpal,ship_009
frozen,agent_01,vorpal,ship_015
frozen,agent_01,vorpal,ship_016
frozen,agent_01,vorpal,ship_017
frozen,agent_01,vorpal,ship_018
frozen,agent_01,vorpal,ship_019
frozen,agent_01,vorpal,ship_020
frozen,agent_01,vorpal,ship_021
frozen,agent_01,vorpal,ship_022
frozen,agent_01,vorpal,ship_023
frozen,agent_01,vorpal,ship_025
frozen,agent_01,vorpal,ship_026
frozen,agent_01,vorpal,ship_027
frozen,agent_01,vorpal,ship_028
frozen,agent_01,vorpal,ship_029
frozen,agent_02,slithy,frog_010
frozen,agent_02,slithy,frog_011
frozen,agent_02,slithy,frog_012
frozen,agent_02,slithy,frog_013
frozen,agent_02,slithy,frog_014
frozen,agent_02,slithy,frog_015
frozen,agent_02,slithy,frog_016
frozen,agent_02,slithy,frog_017
frozen,agent_02,slithy,frog_018
frozen,agent_02,slithy,frog_019
frozen,agent_02,slithy,frog_020
frozen,agent_02,slithy,frog_021
frozen,agent_02,slithy,frog_022
frozen,agent_02,slithy,frog_023
frozen,agent_02,slithy,frog_024
frozen,agent_02,slithy,frog_025
frozen,agent_02,slithy,frog_027
frozen,agent_02,slithy,frog_028
frozen,agent_02,slithy,frog_029
frozen,agent_02,mimsy,horse_010
frozen,agent_02,mimsy,horse_011
frozen,agent_02,mimsy,horse_012
frozen,agent_02,mimsy,horse_013
frozen,agent_02,mimsy,horse_014
frozen,agent_02,mimsy,horse_015
frozen,agent_02,mimsy,horse_016
frozen,agent_02,mimsy,horse_017
frozen,agent_02,mimsy,horse_018
frozen,agent_02,mimsy,horse_019
frozen,agent_02,mimsy,horse_020
frozen,agent_02,mimsy,horse_021
frozen,agent_02,mimsy,horse_022
frozen,agent_02,mimsy,horse_023
frozen,agent_02,mimsy,horse_024
frozen,agent_02,mimsy,horse_025
frozen,agent_02,mimsy,horse_026
frozen,agent_02,mimsy,horse_027
frozen,agent_02,mimsy,horse_028
frozen,agent_02,mimsy,horse_029
frozen,agent_02,vorpal,ship_010
frozen,agent_02,vorpal,ship_011
frozen,agent_02,vorpal,ship_012
frozen,agent_02,vorpal,ship_013
frozen,agent_02,vorpal,ship_014
frozen,agent_02,vorpal,ship_015
frozen,agent_02,vorpal,ship_016
frozen,agent_02,vorpal,ship_017
frozen,agent_02,vorpal,ship_018
frozen,agent_02,vorpal,ship_019
frozen,agent_02,vorpal,ship_020
frozen,agent_02,vorpal,ship_021
frozen,agent_02,vorpal,ship_022
frozen,agent_02,vorpal,ship_023
frozen,agent_02,vorpal,ship_025
frozen,agent_02,vorpal,ship_026
frozen,agent_02,vorpal,ship_027
frozen,agent_02,vorpal,ship_028
frozen,agent_02,vorpal,ship_029
consensus,agent_00,slithy,frog_000
consensus,agent_00,slithy,frog_001
consensus,agent_00,slithy,frog_002
consensus,agent_00,slithy,frog_003
consensus,agent_00,slithy,frog_004
consensus,agent_00,slithy,frog_015
consensus,agent_00,slithy,frog_016
consensus,agent_00,slithy,frog_017
consensus,agent_00,slithy,frog_018
consensus,agent_00,slithy,frog_019
consensus,agent_00,slithy,frog_020
consensus,agent_00,slithy,frog_021
consensus,agent_00,slithy,frog_022
consensus,agent_00,slithy,frog_023
consensus,agent_00,slithy,frog_024
consensus,agent_00,slithy,frog_025
consensus,agent_00,slithy,frog_026
consensus,agent_00,slithy,frog_027
consensus,agent_00,slithy,frog_028
consensus,agent_00,slithy,frog_029
consensus,agent_00,mimsy,horse_000
consensus,agent_00,mimsy,horse_001
consensus,agent_00,mimsy,horse_002
consensus,agent_00,mimsy,horse_003
consensus,agent_00,mimsy,horse_004
consensus,agent_00,mimsy,horse_015
consensus,agent_00,mimsy,horse_016
consensus,agent_00,mimsy,horse_017
consensus,agent_00,mimsy,horse_018
consensus,agent_00,mimsy,horse_019
consensus,agent_00,mimsy,horse_020
consensus,agent_00,mimsy,horse_021
consensus,agent_00,mimsy,horse_022
consensus,agent_00,mimsy,horse_023
consensus,agent_00,mimsy,horse_024
consensus,agent_00,mimsy,horse_025
consensus,agent_00,mimsy,horse_026
consensus,agent_00,mimsy,horse_027
consensus,agent_00,mimsy,horse_028
consensus,agent_00,mimsy,horse_029
consensus,agent_00,vorpal,ship_000
consensus,agent_00,vorpal,ship_001
consensus,agent_00,vorpal,ship_002
consensus,agent_00,vorpal,ship_003
consensus,agent_00,vorpal,ship_004
consensus,agent_00,vorpal,ship_015
consensus,agent_00,vorpal,ship_016
consensus,agent_00,vorpal,ship_017
consensus,agent_00,vorpal,ship_018
consensus,agent_00,vorpal,ship_019
consensus,agent_00,vorpal,ship_020
consensus,agent_00,vorpal,ship_021
consensus,agent_00,vorpal,ship_022
consensus,agent_00,vorpal,ship_023
consensus,agent_00,vorpal,ship_024
consensus,agent_00,vorpal,ship_025
consensus,agent_00,vorpal,ship_026
consensus,agent_00,vorpal,ship_027
consensus,agent_00,vorpal,ship_028
consensus,agent_00,vorpal,ship_029
consensus,agent_01,slithy,frog_005
consensus,agent_01,slithy,frog_006
consensus,agent_01,slithy,frog_007
consensus,agent_01,slithy,frog_008
consensus,agent_01,slithy,frog_009
consensus,agent_01,slithy,frog_015
consensus,agent_01,slithy,frog_016
consensus,agent_01,slithy,frog_017
consensus,agent_01,slithy,frog_018
consensus,agent_01,slithy,frog_019
